iter	Passed	Remaining
398	1546	2328
399	1546	2320
400	1547	2311
401	1548	2302
402	1548	2294
403	1549	2285
404	1549	2277
405	1550	2268
406	1551	2260
407	1551	2251
408	1552	2243
409	1553	2235
410	1554	2227
411	1555	2220
412	1557	2213
413	1558	2205
414	1559	2197
415	1560	2190
416	1561	2182
417	1562	2174
418	1562	2166
419	1563	2158
420	1563	2150
421	1564	2143
422	1565	2135
423	1566	2127
424	1566	2119
425	1567	2111
426	1568	2104
427	1568	2096
428	1569	2088
429	1569	2081
430	1570	2073
431	1573	2069
432	1574	2062
433	1575	2054
434	1576	2047
435	1577	2040
436	1577	2032
437	1578	2025
438	1579	2018
439	1579	2010
440	1580	2003
441	1581	1996
442	1581	1988
443	1582	1981
444	1583	1974
445	1584	1967
446	1584	1960
447	1585	1953
448	1587	1948
449	1589	1942
450	1590	1935
451	1591	1929
452	1592	1922
453	1592	1915
454	1593	1908
455	1594	1901
456	1594	1895
457	1595	1888
458	1596	1881
459	1596	1874
460	1597	1867
461	1598	1861
462	1598	1854
463	1599	1847
464	1600	1841
465	1604	1838
466	1605	1832
467	1606	1825
468	1607	1819
469	1607	1813
470	1608	1806
471	1609	1800
472	1609	1793
473	1610	1787
474	1611	1780
475	1611	1774
476	1612	1768
477	1613	1761
478	1613	1755
479	1614	1749
480	1615	1742
481	1617	1738
482	1619	1733
483	1620	1727
484	1621	1721
485	1622	1715
486	1623	1709
487	1623	1703
488	1624	1697
489	1625	1691
490	1625	1685
491	1626	1679
492	1627	1673
493	1627	1667
494	1628	1661
495	1629	1655
496	1629	1649
497	1630	1643
498	1633	1639
499	1634	1634
500	1635	1628
501	1636	1623
502	1636	1617
503	1637	1611
504	1638	1605
505	1638	1600
506	1639	1594
507	1640	1588
508	1640	1582
509	1641	1577
510	1642	1571
511	1642	1565
512	1643	1560
513	1644	1554
514	1644	1549
515	1648	1546
516	1649	1540
517	1650	1535
518	1651	1530
519	1652	1525
520	1652	1519
521	1653	1514
522	1654	1508
523	1654	1503
524	1655	1497
525	1656	1492
526	1656	1486
527	1657	1481
528	1658	1476
529	1658	1470
530	1659	1465
531	1661	1461
532	1663	1457
533	1664	1452
534	1665	1447
